Team,Games Played,Goal For,Average Goals For,Goals Against,Average Goals Against
Liverpool,14,26,1.8571428571428572,9,0.6428571428571429
Brighton,15,15,1.0,25,1.6666666666666667
Norwich,15,6,0.4,26,1.7333333333333334
Sheffield United,13,13,1.0,12,0.9230769230769231
Aston Villa,15,16,1.0666666666666667,32,2.1333333333333333
West Ham,15,12,0.8,24,1.6
Newcastle,15,13,0.8666666666666667,29,1.9333333333333333
Leicester,14,28,2.0,13,0.9285714285714286
Burnley,14,14,1.0,21,1.5
Tottenham,15,20,1.3333333333333333,25,1.6666666666666667
Bournemouth,15,12,0.8,26,1.7333333333333334
Man United,14,15,1.0714285714285714,18,1.2857142857142858
Crystal Palace,14,14,1.0,19,1.3571428571428572
Southampton,14,19,1.3571428571428572,21,1.5
Watford,15,11,0.7333333333333333,27,1.8
Wolves,14,20,1.4285714285714286,17,1.2142857142857142
Arsenal,13,14,1.0769230769230769,16,1.2307692307692308
Chelsea,14,29,2.0714285714285716,24,1.7142857142857142
Everton,15,18,1.2,31,2.066666666666667
Man City,15,35,2.3333333333333335,19,1.2666666666666666
