Team,Games Played,Goal For,Average Goals For,Goals Against,Average Goals Against
Liverpool,15,40,2.6666666666666665,12,0.8
Brighton,14,17,1.2142857142857142,15,1.0714285714285714
Norwich,14,19,1.3571428571428572,26,1.8571428571428572
Sheffield United,15,17,1.1333333333333333,13,0.8666666666666667
Aston Villa,13,18,1.3846153846153846,24,1.8461538461538463
West Ham,14,23,1.6428571428571428,26,1.8571428571428572
Newcastle,14,12,0.8571428571428571,12,0.8571428571428571
Leicester,15,30,2.0,15,1.0
Burnley,15,20,1.3333333333333333,19,1.2666666666666666
Tottenham,14,27,1.9285714285714286,15,1.0714285714285714
Bournemouth,14,17,1.2142857142857142,21,1.5
Man United,15,29,1.9333333333333333,12,0.8
Crystal Palace,15,12,0.8,13,0.8666666666666667
Southampton,15,16,1.0666666666666667,31,2.066666666666667
Watford,14,16,1.1428571428571428,17,1.2142857142857142
Wolves,15,21,1.4,17,1.1333333333333333
Arsenal,15,26,1.7333333333333334,20,1.3333333333333333
Chelsea,15,22,1.4666666666666666,15,1.0
Everton,14,19,1.3571428571428572,15,1.0714285714285714
Man City,13,33,2.5384615384615383,12,0.9230769230769231
